,url
92285,"['gainesville', '2020', 'bmw', 'x3', 'sdrive30i']"
92286,"['gainesville', '2018', 'alfa', 'romeo', 'stelvio-ti']"
92477,"['gainesville', '2019', 'honda', 'cr', 'lx-2wd']"
92481,"['gainesville', '2020', 'kia', 'optima', 'sx']"
92482,"['gainesville', '2018', 'nissan', 'rogue', 'fwd-sv']"
92483,"['gainesville', '2020', 'volkswagen', 'tiguan', '20t']"
92499,"['gainesville', '2019', 'hyundai', 'veloster', '20']"
92500,"['gainesville', '2019', 'jaguar', 'pace', '25t']"
92506,"['gainesville', '2018', 'volkswagen', 'atlas', '36l']"
92507,"['gainesville', '2019', 'toyota', 'corolla', 'le-cvt']"
92510,"['gainesville', '2019', 'ram', '1500', 'big-horn-4x2']"
92569,"['gainesville', '2019', 'ram', '1500', 'big-horn-4x2']"
92573,"['gainesville', '2019', 'chrysler', 'pacifica']"
92574,"['gainesville', '2018', 'chevrolet', 'equinox', 'fwd']"
92685,"['royal', 'palm', 'beach', '2020', 'bmw-m8']"
92700,"['new', 'smyrna', 'beach', '2019', 'gmc-savana-cargo']"
93863,"['royal', 'palm', 'beach', '2019', 'ram-1500-big-horn']"
95866,"['royal', 'palm', 'beach', '2019', 'ram-1500-big-horn']"
96643,"['new', 'smyrna', 'beach', '2019', 'ford-super-duty']"
96644,"['new', 'smyrna', 'beach', '2018', 'chevrolet-malibu']"
96648,"['new', 'smyrna', 'beach', '2019', 'chevrolet']"
97223,"['new', 'smyrna', 'beach', '2019', 'ford-super-duty']"
97227,"['new', 'smyrna', 'beach', '2019', 'ford-transit-van']"
99061,"['new', 'smyrna', 'beach', '2019', 'gmc-savana-cargo']"
99071,"['new', 'smyrna', 'beach', '2018', 'ford-l-v6']"
101969,"['royal', 'palm', 'beach', '2019', 'lincoln-mkc']"
101979,"['royal', 'palm', 'beach', '2019', 'ram-1500-big-horn']"
101986,"['royal', 'palm', 'beach', '2020', 'bmw-m8']"
101987,"['royal', 'palm', 'beach', '2018', 'bmw-series-430i']"
102775,"['new', 'smyrna', 'beach', '2019', 'ford-transit-van']"
103538,"['new', 'smyrna', 'beach', '2018', 'chevrolet-4500']"
103539,"['new', 'smyrna', 'beach', '2018', 'chevrolet-malibu']"
